32,1458,0000
101,915,0001
105,842,0010
117,715,0100
115,692,0101
97,648,0110
116,639,10000
110,523,10001
108,474,10010
114,464,1010
111,387,1011
109,384,11000
99,337,11001
100,236,110100
46,195,110101
112,168,110110
44,130,1110000
118,125,1110001
113,113,1110010
98,109,111010
103,109,111011
102,77,1111000
104,39,1111001
10,34,11110100
13,34,11110101
80,29,11110110
78,25,111110000
120,19,111110001
77,19,111110010
68,19,11111010
67,18,11111011
86,15,111111000
73,15,111111001
83,15,111111010
65,14,111111011
81,8,1111111000
85,7,1111111001
69,5,1111111010
106,5,1111111100
70,4,1111111101
76,2,11111111100
79,1,11111111110
59,1,11111111111
