32,14580,0000
101,9150,0001
105,8420,0010
117,7150,0100
115,6920,0101
97,6480,0110
116,6390,10000
110,5230,10001
108,4740,10010
114,4640,1010
111,3870,1011
109,3840,11000
99,3370,11001
100,2360,110100
46,1950,110101
112,1680,110110
44,1300,1110000
118,1250,1110001
113,1130,1110010
98,1090,111010
103,1090,111011
102,770,1111000
104,390,1111001
10,340,11110100
13,340,11110101
80,290,11110110
78,250,111110000
120,190,111110001
77,190,111110010
68,190,11111010
67,180,11111011
86,150,111111000
73,150,111111001
83,150,111111010
65,140,111111011
81,80,1111111000
85,70,1111111001
69,50,1111111010
106,50,1111111100
70,40,1111111101
76,20,11111111100
79,10,11111111110
59,10,11111111111
