46,12857,0000000
77,12730,0000001
35,12716,0000010
104,12708,000010
47,12663,000011
43,12663,0001000
68,12659,0001001
97,12656,0001010
82,12643,000110
40,12638,000111
57,12630,0010000
105,12610,0010001
66,12609,0010010
49,12608,001010
85,12596,001011
90,12590,0011000
45,12590,0011001
91,12586,0011010
106,12581,001110
48,12571,001111
114,12565,0100000
74,12560,0100001
64,12555,0100010
110,12550,010010
98,12540,010011
88,12540,0101000
83,12526,0101001
116,12525,0101010
123,12524,010110
56,12523,010111
109,12522,0110000
65,12517,0110001
102,12517,0110010
122,12514,011010
118,12513,011011
125,12512,0111000
55,12504,0111001
100,12502,0111010
81,12499,011110
103,12497,011111
58,12494,1000000
70,12486,1000001
95,12485,1000010
37,12484,100010
84,12480,100011
78,12475,1001000
67,12474,1001001
121,12468,1001010
63,12466,100110
52,12463,100111
54,12459,1010000
87,12448,1010001
93,12444,1010010
42,12444,101010
80,12438,101011
120,12435,1011000
41,12430,1011001
61,12427,1011010
59,12422,101110
76,12419,101111
71,12412,1100000
86,12410,1100001
69,12409,1100010
33,12403,110010
89,12401,110011
36,12401,1101000
117,12395,1101001
113,12393,1101010
112,12393,110110
72,12388,110111
50,12384,1110000
44,12380,1110001
38,12374,1110010
101,12361,111010
51,12354,111011
107,12351,1111000
99,12331,1111001
75,12327,1111010
53,12317,111110
119,12266,111111
