32,147,0000
105,87,0001
101,84,0010
97,72,0100
115,65,0101
117,63,0110
116,58,10000
110,57,10001
114,53,10010
108,48,1010
109,41,1011
111,38,11000
99,31,11001
100,22,110100
112,20,110101
46,18,110110
44,17,111000
103,12,111001
118,12,111010
98,9,111011
102,9,1111000
113,8,1111001
104,6,1111010
67,4,1111011
106,3,11111000
77,3,11111001
10,2,111110100
13,2,111110101
65,2,111110110
78,2,111111000
120,2,111111001
68,2,111111010
73,1,111111100
69,1,111111101
80,1,1111111100
83,1,1111111110
76,1,1111111111
