32,1458000,0000
101,915000,0001
105,842000,0010
117,715000,0100
115,692000,0101
97,648000,0110
116,639000,10000
110,523000,10001
108,474000,10010
114,464000,1010
111,387000,1011
109,384000,11000
99,337000,11001
100,236000,110100
46,195000,110101
112,168000,110110
44,130000,1110000
118,125000,1110001
113,113000,1110010
98,109000,111010
103,109000,111011
102,77000,1111000
104,39000,1111001
10,34000,11110100
13,34000,11110101
80,29000,11110110
78,25000,111110000
120,19000,111110001
77,19000,111110010
68,19000,11111010
67,18000,11111011
86,15000,111111000
73,15000,111111001
83,15000,111111010
65,14000,111111011
81,8000,1111111000
85,7000,1111111001
69,5000,1111111010
106,5000,1111111100
70,4000,1111111101
76,2000,11111111100
79,1000,11111111110
59,1000,11111111111
