32,145800,0000
101,91500,0001
105,84200,0010
117,71500,0100
115,69200,0101
97,64800,0110
116,63900,10000
110,52300,10001
108,47400,10010
114,46400,1010
111,38700,1011
109,38400,11000
99,33700,11001
100,23600,110100
46,19500,110101
112,16800,110110
44,13000,1110000
118,12500,1110001
113,11300,1110010
98,10900,111010
103,10900,111011
102,7700,1111000
104,3900,1111001
10,3400,11110100
13,3400,11110101
80,2900,11110110
78,2500,111110000
120,1900,111110001
77,1900,111110010
68,1900,11111010
67,1800,11111011
86,1500,111111000
73,1500,111111001
83,1500,111111010
65,1400,111111011
81,800,1111111000
85,700,1111111001
69,500,1111111010
106,500,1111111100
70,400,1111111101
76,200,11111111100
79,100,11111111110
59,100,11111111111
