50,1349,0000000
37,1318,0000001
110,1317,0000010
85,1317,000010
33,1309,000011
112,1303,0001000
70,1301,0001001
65,1300,0001010
36,1293,000110
66,1293,000111
53,1293,0010000
67,1293,0010001
69,1292,0010010
104,1291,001010
59,1289,001011
99,1289,0011000
100,1287,0011001
119,1286,0011010
68,1278,001110
93,1277,001111
38,1276,0100000
114,1271,0100001
47,1271,0100010
40,1270,010010
116,1268,010011
63,1267,0101000
107,1266,0101001
64,1265,0101010
42,1265,010110
122,1265,010111
98,1264,0110000
84,1260,0110001
123,1258,0110010
43,1257,011010
88,1256,011011
90,1255,0111000
113,1255,0111001
41,1253,0111010
118,1250,011110
82,1250,011111
54,1250,1000000
61,1250,1000001
89,1249,1000010
55,1249,100010
75,1247,100011
51,1246,1001000
77,1245,1001001
105,1244,1001010
117,1243,100110
44,1243,100111
80,1242,1010000
45,1242,1010001
74,1237,1010010
48,1236,101010
46,1227,101011
97,1226,1011000
87,1226,1011001
121,1222,1011010
35,1222,101110
81,1218,101111
76,1218,1100000
49,1217,1100001
52,1215,1100010
58,1214,110010
102,1213,110011
83,1209,1101000
120,1208,1101001
125,1208,1101010
72,1206,110110
57,1206,110111
109,1202,1110000
71,1202,1110001
106,1201,1110010
95,1199,111010
86,1198,111011
91,1198,1111000
101,1188,1111001
56,1174,1111010
78,1173,111110
103,1170,111111
